CODE;PL
2299;Papier gazetowy, papier czerpany i innego rodzaju papier lub tektura w rodzaju używanych do celów graficznych
2400;Produkty chemiczne
2410;Gazy
2411;Gazy przemysłowe
2420;Barwniki i pigmenty
2421;Tlenki, nadtlenki i wodorotlenki
2422;Ekstrakty garbników, ekstrakty barwników, garbniki i środki barwiące
2430;Podstawowe chemikalia nieorganiczne i organiczne
2431;Zasadowe chemikalia nieorganiczne
2432;Zasadowe organiczne substancje chemiczne
2440;Nawozy azotowe i związki azotu
2441;Nawozy azotowe
2442;Nawozy fosforowe
2443;Nawozy zwierzęce lub roślinne
2444;Różne nawozy
2445;Wyroby rolno-chemiczne
2450;Tworzywa sztuczne w formach podstawowych
2451;Polimery etylenu w formach podstawowych
2452;Polimery propylenu w formach podstawowych
2453;Polimery styrenu w formach podstawowych
2454;Polimery winylu w formach podstawowych
2455;Poliestry w formach podstawowych
2456;Poliamidy w formach podstawowych
2457;Żywice mocznikowe w formach podstawowych
2458;Żywice aminowe w formach podstawowych
2459;Krzemiany w formach podstawowych
2460;Materiały wybuchowe
2461;Gotowe materiały wybuchowe
2490;Produkty chemiczne wysokowartościowe i różne
2491;Kleje
2492;Olejki eteryczne
2493;Chemikalia fotograficzne
2495;Specjalistyczne produkty chemiczne
2496;Różne produkty chemiczne
3000;Maszyny biurowe i liczące, sprzęt i materiały, z wyjątkiem mebli i pakietów oprogramowania
3010;Maszyny biurowe, sprzęt i materiały, z wyjątkiem komputerów, drukarek i mebli
3011;Edytory tekstu
3012;Urządzenia fotokopiujące i do druku offsetowego
3013;Urządzenia pocztowe
3014;Maszyny liczące i rachunkowe
3015;Maszyny do pisania
3016;Karty magnetyczne
3017;Maszyny do metkowania
3018;Maszyny do potwierdzania i wypisywania czeków
3019;Różny sprzęt i artykuły biurowe
3020;Urządzenia komputerowe
3021;Maszyny do przetwarzania danych (sprzęt)
3022;Cyfrowy sprzęt kartograficzny
3023;Sprzęt związany z komputerami
3100;"Maszyny, aparatura, urządzenia i wyroby elektryczne; oświetlenie"
3110;Elektryczne silniki, generatory i transformatory
3111;Silniki elektryczne
3112;Generatory
3113;Alternatory
3114;Układy chłodzące
3115;Stateczniki do lamp wyładowczych lub świetlówek
3116;Części silników elektrycznych, generatorów i transformatorów
3117;Transformatory
3120;Aparatura do przesyłu i eksploatacji energii elektrycznej
3121;Elektryczna aparatura do wyłączania lub ochrony obwodów elektrycznych
3122;Elementy składowe obwodów elektrycznych
3123;Części aparatury do przesyłu i eksploatacji energii elektrycznej
3130;Drut i kabel izolowany
3131;Sieci zasilające
3132;Kable energetyczne
3133;Kabel koncentryczny
3134;Akcesoria do kabli izolowanych
3135;Przewodniki elektryczne do celów przetwarzania danych i sterowania
3140;Akumulatory, komory galwaniczne i baterie galwaniczne
3141;Komory galwaniczne
3142;Baterie galwaniczne
3143;Akumulatory elektryczne
3144;Baterie
3150;Urządzenia oświetleniowe i lampy elektryczne
3151;Żarówki elektryczne
3152;Lampy i oprawy oświetleniowe
3153;Części lamp i sprzętu oświetleniowego
3160;Sprzęt i aparatura elektryczna
3161;Sprzęt elektryczny do silników i pojazdów mechanicznych
3162;Dźwiękowa i wizualna aparatura sygnalizacyjna
3163;Magnesy
3164;Maszyny i aparatura jednozadaniowa
3165;Oprawy izolowane
3166;Elektrody węglowe
3167;Elektryczne części maszyn i aparatury
3168;Elektryczne artykuły i akcesoria
3170;Urządzenia elektroniczne, elektromechaniczne i elektrotechniczne
3171;Sprzęt elektroniczny
3172;Urządzenia elektromechaniczne
3173;Sprzęt elektrotechniczny
3200;Sprzęt radiowy, telewizyjny, komunikacyjny, telekomunikacyjny i podobny
3220;Aparatura transmisyjna do radiotelefonii, radiotelegrafii, transmisji radiowej i telewizyjnej
3221;Sprzęt nadawczy
3222;Telewizyjna aparatura nadawcza bez aparatury odbiorczej
3223;Radiowa aparatura nadawcza z aparaturą odbiorczą
3224;Kamery telewizyjne
3225;Telefony komórkowe
3226;Urządzenia do przesyłu danych
3227;Cyfrowa aparatura nadawcza
3230;Odbiorniki telewizyjne i radiowe oraz aparatura nagrywająca dźwięk lub obraz lub aparatura powielająca
3231;Odbiorniki audycji radiowych
3232;Sprzęt telewizyjny i audiowizualny
3233;Aparatura do nagrywania i powielania dźwięku i obrazu wideo
3234;Mikrofony i głośniki
3235;Części sprzętu dźwiękowego i wideo
3236;Urządzenia komunikacji wewnętrznej
3240;Sieci
3241;Lokalna sieć komputerowa
3242;Urządzenia sieciowe
3243;Rozległa sieć komputerowa
3244;Wyposażenie telemetryczne i terminali
3250;Urządzenia i artykuły telekomunikacyjne
3251;Bezprzewodowy system telekomunikacyjny
3252;Sprzęt i kable telekomunikacyjne
3253;Satelitarne urządzenia komunikacyjne
3254;Centrale
3255;Sprzęt telefoniczny
3256;Tworzywa z włókna optycznego
3257;Urządzenia łączności
3258;Sprzęt do obsługi danych
3300;Urządzenia medyczne, farmaceutyki i produkty do pielęgnacji ciała
3310;Urządzenia medyczne
3311;Sprzęt obrazujący do użytku medycznego, stomatologicznego i weterynaryjnego
3312;Systemy rejestrujące i urządzenia badawcze
3313;Instrumenty i urządzenia stomatologiczne i specjalistyczne
3314;Materiały medyczne
3315;Urządzenia do radioterapii, mechanoterapii, elektroterapii i fizykoterapii
3316;Techniki operacyjne
3317;Aparatura do anestezji i resuscytacji
3318;Wsparcie czynnościowe
3319;Różne urządzenia i produkty medyczne
3360;Produkty farmaceutyczne
3361;Produkty lecznicze dla przewodu pokarmowego i metabolizmu
3362;Produkty lecznicze dla krwi, organów krwiotwórczych oraz układu krążenia
3363;Produkty lecznicze dla dermatologii oraz układu mięśniowo-szkieletowego
3364;Produkty lecznicze dla układu moczowo-płciowego oraz hormonów
3365;Ogólne środki przeciwinfekcyjne do użytku ogólnoustrojowego, szczepionki, środki przeciwnowotworowe oraz immunomodulacyjne
3366;Produkty lecznicze dla układu nerwowego i organów zmysłów
3367;Środki lecznicze dla układu oddechowego
3368;Wyroby farmaceutyczne
3369;Różne produkty lecznicze
3370;Produkty do pielęgnacji ciała
3371;Perfumy, produkty toaletowe i prezerwatywy
3372;Golarki i zestawy do manikiuru lub pedikiuru
3373;Produkty do pielęgnacji oczu i soczewki korekcyjne
3374;Produkty do pielęgnacji rąk i paznokci
3375;Produkty do pielęgnacji niemowląt
3376;Papier toaletowy, chusteczki higieniczne, ręczniki do rąk i serwety
3377;Artykuły higieniczne z papieru
3379;Laboratoryjne, higieniczne lub farmaceutyczne wyroby szklane
3390;Sprzęt i artykuły do użytku post mortem oraz w kostnicach
3391;Przyrządy i artykuły do przeprowadzania sekcji w przypadkach patologicznych
3392;Sprzęt i artykuły do autopsji
3393;Meble do autopsji
3394;Sprzęt i artykuły do transportu i przechowywania zwłok
3395;Sprzęt i artykuły dla medycyny sądowej
3396;Sprzęt i artykuły do balsamowania
3397;Sprzęt i artykuły dla kostnic
3400;Sprzęt transportowy i produkty pomocnicze dla transportu
3410;Pojazdy silnikowe
3411;Samochody osobowe
3412;Pojazdy silnikowe do transportu 10 lub więcej osób
3413;Pojazdy silnikowe do transportu towarów
3414;Wysokowydajne pojazdy silnikowe
3415;Symulatory
3420;Nadwozia pojazdów, przyczepy lub naczepy
3421;Nadwozia pojazdów mechanicznych
3422;Przyczepy, naczepy oraz cysterny samojezdne
3430;Części i akcesoria do pojazdów i silników do nich
3431;Silniki do pojazdów i części silników
3432;Mechaniczne części zapasowe, z wyłączeniem silników i części silników
3433;Części zapasowe do pojazdów do transportu towarów, pojazdów pasażersko-towarowych i samochodów
3435;Opony do pracy w lekkich i ciężkich warunkach
3436;Siedziska do cywilnych statków powietrznych
3437;Siedziska do pojazdów mechanicznych
3439;Akcesoria do ciągników
3440;Motocykle, rowery, przyczepy motocyklowe boczne
3441;Motocykle
3442;Skutery silnikowe i rowery z silnikiem
